Case ID,Activity,Timestamp,Group,Lifecycle
1,Act_08/Act_14/Act_03/Act_11/Act_06/Act_09/Act_02/Act_15/Act_12/Act_07/Act_04/Act_10,2023-01-01 08:15:23/2023-01-01 09:42:51/2023-01-01 11:03:12/2023-01-01 12:18:45/2023-01-01 13:55:02/2023-01-01 15:30:18/2023-01-01 17:12:44/2023-01-01 18:48:09/2023-01-01 20:05:33/2023-01-01 21:29:58/2023-01-01 22:45:16/2023-01-02 00:10:37,Grp_14/Grp_08/Grp_22/Grp_14/Grp_05/Grp_17/Grp_08/Grp_22/Grp_14/Grp_05/Grp_17/Grp_08,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
2,Act_16/Act_02/Act_09/Act_13/Act_05/Act_07/Act_11/Act_03/Act_15,2023-01-02 06:30:00/2023-01-02 07:15:30/2023-01-02 08:02:45/2023-01-02 09:20:10/2023-01-02 10:45:55/2023-01-02 12:05:20/2023-01-02 13:30:40/2023-01-02 15:00:15/2023-01-02 16:25:50,Grp_03/Grp_19/Grp_03/Grp_11/Grp_25/Grp_19/Grp_11/Grp_03/Grp_25,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
3,Act_01/Act_10/Act_06/Act_14/Act_12/Act_04/Act_08/Act_16/Act_02/Act_09/Act_13/Act_05/Act_11/Act_07,2023-01-02 18:00:00/2023-01-02 19:10:20/2023-01-02 20:25:40/2023-01-02 21:45:10/2023-01-02 23:00:30/2023-01-03 00:15:50/2023-01-03 01:40:15/2023-01-03 03:05:25/2023-01-03 04:30:45/2023-01-03 06:00:10/2023-01-03 07:20:30/2023-01-03 08:45:55/2023-01-03 10:10:15/2023-01-03 11:30:40,Grp_26/Grp_07/Grp_15/Grp_02/Grp_26/Grp_07/Grp_15/Grp_02/Grp_26/Grp_07/Grp_15/Grp_02/Grp_26/Grp_07,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
4,Act_05/Act_13/Act_02/Act_11/Act_08/Act_16/Act_04/Act_09,2023-01-03 12:00:00/2023-01-03 13:15:30/2023-01-03 14:30:20/2023-01-03 15:45:10/2023-01-03 17:00:40/2023-01-03 18:20:55/2023-01-03 19:40:15/2023-01-03 21:00:30,Grp_12/Grp_04/Grp_21/Grp_12/Grp_04/Grp_21/Grp_12/Grp_04,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
5,Act_15/Act_07/Act_01/Act_12/Act_03/Act_14/Act_10/Act_06/Act_16/Act_02/Act_09,2023-01-03 22:00:00/2023-01-04 00:10:25/2023-01-04 01:30:50/2023-01-04 03:00:10/2023-01-04 04:20:35/2023-01-04 05:50:00/2023-01-04 07:10:20/2023-01-04 08:30:45/2023-01-04 09:55:10/2023-01-04 11:15:30/2023-01-04 12:40:55,Grp_09/Grp_18/Grp_26/Grp_09/Grp_18/Grp_26/Grp_09/Grp_18/Grp_26/Grp_09/Grp_18,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
6,Act_03/Act_08/Act_14/Act_06/Act_11/Act_02/Act_16/Act_04/Act_12/Act_09/Act_05/Act_13/Act_07/Act_15/Act_10/Act_01,2023-01-04 13:45:00/2023-01-04 15:00:20/2023-01-04 16:20:40/2023-01-04 17:45:10/2023-01-04 19:05:30/2023-01-04 20:25:55/2023-01-04 21:50:15/2023-01-04 23:10:35/2023-01-05 00:35:00/2023-01-05 01:55:20/2023-01-05 03:15:45/2023-01-05 04:40:05/2023-01-05 06:00:25/2023-01-05 07:25:50/2023-01-05 08:50:10/2023-01-05 10:10:30,Grp_22/Grp_05/Grp_13/Grp_22/Grp_05/Grp_13/Grp_22/Grp_05/Grp_13/Grp_22/Grp_05/Grp_13/Grp_22/Grp_05/Grp_13/Grp_22,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
7,Act_02/Act_06/Act_10/Act_14/Act_01/Act_05/Act_09/Act_13/Act_03/Act_07/Act_11/Act_15,2023-01-05 11:30:00/2023-01-05 12:45:30/2023-01-05 14:00:50/2023-01-05 15:20:10/2023-01-05 16:40:35/2023-01-05 18:05:55/2023-01-05 19:25:15/2023-01-05 20:50:40/2023-01-05 22:10:00/2023-01-05 23:30:20/2023-01-06 00:55:45/2023-01-06 02:15:05,Grp_16/Grp_03/Grp_24/Grp_16/Grp_03/Grp_24/Grp_16/Grp_03/Grp_24/Grp_16/Grp_03/Grp_24,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
8,Act_11/Act_04/Act_08/Act_16/Act_02/Act_12/Act_06/Act_14/Act_10/Act_03/Act_07/Act_15/Act_01/Act_05/Act_09/Act_13/Act_11/Act_04,2023-01-06 03:30:00/2023-01-06 04:50:20/2023-01-06 06:10:40/2023-01-06 07:35:00/2023-01-06 08:55:25/2023-01-06 10:20:45/2023-01-06 11:45:10/2023-01-06 13:05:30/2023-01-06 14:25:55/2023-01-06 15:50:15/2023-01-06 17:10:35/2023-01-06 18:30:50/2023-01-06 19:55:10/2023-01-06 21:15:30/2023-01-06 22:40:55/2023-01-07 00:00:15/2023-01-07 01:20:35/2023-01-07 02:45:00,Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19/Grp_07/Grp_19,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
9,Act_13/Act_09/Act_05/Act_01/Act_16/Act_12/Act_08/Act_04/Act_02,2023-01-07 04:00:00/2023-01-07 05:20:30/2023-01-07 06:45:50/2023-01-07 08:05:10/2023-01-07 09:30:35/2023-01-07 10:55:55/2023-01-07 12:15:15/2023-01-07 13:40:40/2023-01-07 15:00:00,Grp_25/Grp_11/Grp_25/Grp_11/Grp_25/Grp_11/Grp_25/Grp_11/Grp_25,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
10,Act_07/Act_03/Act_15/Act_11/Act_02/Act_14/Act_06/Act_10/Act_01/Act_12/Act_08/Act_16/Act_04/Act_09/Act_05/Act_13,2023-01-07 16:30:00/2023-01-07 17:50:20/2023-01-07 19:10:45/2023-01-07 20:35:05/2023-01-07 21:55:25/2023-01-07 23:20:50/2023-01-08 00:45:10/2023-01-08 02:05:30/2023-01-08 03:25:55/2023-01-08 04:50:15/2023-01-08 06:10:35/2023-01-08 07:30:00/2023-01-08 08:55:20/2023-01-08 10:15:40/2023-01-08 11:40:05/2023-01-08 13:00:25,Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17/Grp_02/Grp_17,COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE/COMPLETE
