Case ID,Activity,Timestamp,Group,Lifecycle
1,Activity 1/Activity 2/Activity 3/Activity 4/Activity 5/Activity 6/Activity 7/Activity 8/Activity 9/Activity 10/Activity 11/Activity 12/Activity 13/Activity 14,2013-11-07T08:18:29Z/2013-11-07T09:18:29Z/2013-11-08T08:18:29Z/2013-11-09T08:18:29Z/2013-11-10T14:00:00Z/2013-11-11T09:00:00Z/2013-11-12T10:00:00Z/2013-11-13T11:00:00Z/2013-11-14T12:00:00Z/2013-11-15T13:00:00Z/2013-11-16T14:00:00Z/2013-11-17T15:00:00Z/2013-11-18T16:00:00Z/2013-11-19T17:00:00Z,Group 1/Group 2/Group 1/Group 3/Group 4/Group 2/Group 5/Group 6/Group 1/Group 7/Group 8/Group 9/Group 2/Group 10,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
2,Activity 1/Activity 2/Activity 16,2013-11-20T08:00:00Z/2013-11-20T08:05:00Z/2013-11-20T08:10:00Z,Group 1/Group 2/Group 1,DEFAULT/DEFAULT/DEFAULT
3,Activity 1/Activity 3/Activity 5/Activity 7/Activity 9/Activity 11,2013-12-01T08:00:00Z/2013-12-02T08:00:00Z/2013-12-03T08:00:00Z/2013-12-04T08:00:00Z/2013-12-05T08:00:00Z/2013-12-06T08:00:00Z,Group 3/Group 4/Group 5/Group 3/Group 4/Group 5,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
4,Activity 2/Activity 4/Activity 6/Activity 8/Activity 10/Activity 12/Activity 14/Activity 15/Activity 16,2014-01-10T09:00:00Z/2014-01-11T10:00:00Z/2014-01-12T11:00:00Z/2014-01-13T12:00:00Z/2014-01-14T13:00:00Z/2014-01-15T14:00:00Z/2014-01-16T15:00:00Z/2014-01-17T16:00:00Z/2014-01-18T17:00:00Z,Group 6/Group 7/Group 8/Group 9/Group 10/Group 11/Group 12/Group 13/Group 14,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
5,Activity 1/Activity 2/Activity 3/Activity 4/Activity 5/Activity 6/Activity 7/Activity 8/Activity 9/Activity 10/Activity 11/Activity 12/Activity 13/Activity 14,2014-02-07T08:18:29Z/2014-02-07T09:18:29Z/2014-02-08T08:18:29Z/2014-02-09T08:18:29Z/2014-02-10T14:00:00Z/2014-02-11T09:00:00Z/2014-02-12T10:00:00Z/2014-02-13T11:00:00Z/2014-02-14T12:00:00Z/2014-02-15T13:00:00Z/2014-02-16T14:00:00Z/2014-02-17T15:00:00Z/2014-02-18T16:00:00Z/2014-02-19T17:00:00Z,Group 1/Group 2/Group 1/Group 3/Group 4/Group 2/Group 5/Group 6/Group 1/Group 7/Group 8/Group 9/Group 2/Group 10,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
6,Activity 1/Activity 2/Activity 16,2014-03-20T08:00:00Z/2014-03-20T08:05:00Z/2014-03-20T08:10:00Z,Group 1/Group 2/Group 1,DEFAULT/DEFAULT/DEFAULT
7,Activity 1/Activity 3/Activity 5/Activity 7/Activity 9/Activity 11,2014-04-01T08:00:00Z/2014-04-02T08:00:00Z/2014-04-03T08:00:00Z/2014-04-04T08:00:00Z/2014-04-05T08:00:00Z/2014-04-06T08:00:00Z,Group 3/Group 4/Group 5/Group 3/Group 4/Group 5,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
8,Activity 2/Activity 4/Activity 6/Activity 8/Activity 10/Activity 12/Activity 14/Activity 15/Activity 16,2014-05-10T09:00:00Z/2014-05-11T10:00:00Z/2014-05-12T11:00:00Z/2014-05-13T12:00:00Z/2014-05-14T13:00:00Z/2014-05-15T14:00:00Z/2014-05-16T15:00:00Z/2014-05-17T16:00:00Z/2014-05-18T17:00:00Z,Group 6/Group 7/Group 8/Group 9/Group 10/Group 11/Group 12/Group 13/Group 14,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
9,Activity 1/Activity 2/Activity 3/Activity 4/Activity 5/Activity 6/Activity 7/Activity 8/Activity 9/Activity 10/Activity 11/Activity 12/Activity 13/Activity 14,2014-06-07T08:18:29Z/2014-06-07T09:18:29Z/2014-06-08T08:18:29Z/2014-06-09T08:18:29Z/2014-06-10T14:00:00Z/2014-06-11T09:00:00Z/2014-06-12T10:00:00Z/2014-06-13T11:00:00Z/2014-06-14T12:00:00Z/2014-06-15T13:00:00Z/2014-06-16T14:00:00Z/2014-06-17T15:00:00Z/2014-06-18T16:00:00Z/2014-06-19T17:00:00Z,Group 1/Group 2/Group 1/Group 3/Group 4/Group 2/Group 5/Group 6/Group 1/Group 7/Group 8/Group 9/Group 2/Group 10,DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT/DEFAULT
10,Activity 1/Activity 2/Activity 16,2014-07-20T08:00:00Z/2014-07-20T08:05:00Z/2014-07-20T08:10:00Z,Group 1/Group 2/Group 1,DEFAULT/DEFAULT/DEFAULT
